benchmark,n_queries,arm/method,metric,value,source_file,status,notes
REALTALK-RT04,71,PQ12B_FAISS_M12_NBITS8,Hit@10,0.5634,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT05,70,PQ12B_FAISS_M12_NBITS8,Hit@10,0.5571,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT06,74,PQ12B_FAISS_M12_NBITS8,Hit@10,0.0541,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT07,70,PQ12B_FAISS_M12_NBITS8,Hit@10,0.1429,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT08,70,PQ12B_FAISS_M12_NBITS8,Hit@10,0.0429,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT09,63,PQ12B_FAISS_M12_NBITS8,Hit@10,0.2698,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
REALTALK-RT10,59,PQ12B_FAISS_M12_NBITS8,Hit@10,0.2712,/mnt/c/Users/MDP/dev/llmzip-work/top10_comparison_r1/pq/per_query.jsonl,VERIFIED,per-archive re-derivation; matches pq/SUMMARY.json
LME,470,float64,hit3,0.6127659574468085,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float64,recall3,0.4415957446808511,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float64,hit10,0.825531914893617,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float64,recall10,0.689468085106383,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float64,hit100,0.9680851063829787,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float64,recall100,0.9567730496453902,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std64,hit3,0.7382978723404255,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std64,recall3,0.5574468085106383,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std64,hit10,0.8829787234042553,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std64,recall10,0.7954964539007092,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std64,hit100,0.9744680851063829,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std64,recall100,0.9529078014184398,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std32,hit3,0.7382978723404255,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std32,recall3,0.5574468085106383,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std32,hit10,0.8829787234042553,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std32,recall10,0.7954964539007092,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std32,hit100,0.9744680851063829,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,float_std32,recall100,0.9529078014184398,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign96,hit3,0.7138297872340426,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign96,recall3,0.5421335697399526,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign96,hit10,0.860773387369132,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign96,recall10,0.7587488742541934,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign96,hit100,0.9511476112539943,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign96,recall100,0.9009887562043793,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign88_top,hit3,0.6950354609929078,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign88_top,recall3,0.5165602836879433,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign88_top,hit10,0.8579711246200608,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign88_top,recall10,0.7514357480580884,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign88_top,hit100,0.9491008152178365,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign88_top,recall100,0.899830472952278,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign80_top,hit3,0.671950354609929,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign80_top,recall3,0.4926882809861533,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign80_top,hit10,0.8496529888551165,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign80_top,recall10,0.7321082404593042,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign80_top,hit100,0.9535182491947093,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
LME,470,sign80_top,recall100,0.9017517454971873,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float64,hit3,0.6468239564428312,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float64,recall3,0.551692074528853,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float64,hit10,0.8081064730792499,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float64,recall10,0.70954000969884,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float64,hit100,0.9657592256503327,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float64,recall100,0.9194125749274423,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std64,hit3,0.6786448880822746,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std64,recall3,0.5657554876217679,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std64,hit10,0.8395644283121597,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std64,recall10,0.7023578349621766,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std64,hit100,0.9574107683000604,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std64,recall100,0.8537442424829276,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std32,hit3,0.6786448880822746,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std32,recall3,0.5657554876217679,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std32,hit10,0.8395644283121597,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std32,recall10,0.7023578349621766,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std32,hit100,0.9574107683000604,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,float_std32,recall100,0.8537442424829276,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign96,hit3,0.5903652810186386,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign96,recall3,0.488944796163642,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign96,hit10,0.7576122962874323,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign96,recall10,0.6190788885748457,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign96,hit100,0.9407835800704153,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign96,recall100,0.8050638002492543,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign88_top,hit3,0.5793378561345894,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign88_top,recall3,0.4797405198066575,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign88_top,hit10,0.7462424488195813,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign88_top,recall10,0.6109848498064684,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign88_top,hit100,0.9381924653651396,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign88_top,recall100,0.8064462616059583,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign80_top,hit3,0.5714663094517904,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign80_top,recall3,0.47312770960037304,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign80_top,hit10,0.7433455099380689,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign80_top,recall10,0.6108447428061681,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign80_top,hit100,0.9366528946223387,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
PerLTQA,8265,sign80_top,recall100,0.8083517547757385,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float64,hit3,0.22836879432624113,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float64,recall3,0.17253405381064957,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float64,hit10,0.3659574468085106,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float64,recall10,0.27830493383684873,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float64,hit100,0.6950354609929078,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float64,recall100,0.571327637211637,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std64,hit3,0.2936170212765957,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std64,recall3,0.22910032172630157,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std64,hit10,0.4851063829787234,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std64,recall10,0.37467782932508575,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std64,hit100,0.7914893617021277,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std64,recall100,0.6547141602124805,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std32,hit3,0.2936170212765957,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std32,recall3,0.22910032172630157,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std32,hit10,0.4851063829787234,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std32,recall10,0.37467782932508575,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std32,hit100,0.7914893617021277,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,float_std32,recall100,0.6547141602124805,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
RealTalk,705,sign96,hit3,0.2973758865248227,/mnt/c/Users/MDP/dev/llmzip-work/incoming_20260916/files/LLMZIP_BENCHMARK_OZET_2026-09-15.json,CLAIM,producer cached-replay; 12/12 old-arm Hit@10 cells match own baseline EXACTLY per coordinator verify_incoming.json
